gene_id	Op_Prot_Nat_A	Op_Prot_Nat_B	Op_Prot_Nat_C	Tr_Prot_Nat_A	Tr_Prot_Nat_B	Tr_Prot_Nat_C	Tr_Prot_Alk_A	Tr_Prot_Alk_B	Tr_Prot_Alk_C
scaffold99:hit:296795	9.89	3.46	4.02	10.27	2.29	7.69	10.83	4.64	4.35
scaffold97:hit:295554	0	0	0	0	0	0	0	0	0
scaffold97:hit:295254	0	0	0	0	0	0	0	0	0.06
scaffold96:hit:294614	0	1.87	0.79	1.9	5.77	1.98	3.72	9.06	3.8
scaffold96:hit:294613	0	0.29	0.06	0.14	0.74	0.14	0.62	0.53	1.37
scaffold96:hit:294612	0.1	1.65	0.2	2.31	4.42	1.74	2.38	5.32	4.37
scaffold96:hit:294610	0	0	0	0	0.28	0	0.31	0	0
scaffold96:hit:294608	0	1.48	0.99	3.51	5.01	1.33	2.93	6.54	3.78
scaffold96:hit:294568	0	1.45	0.39	0.36	4.46	1.75	0.35	3.81	1.58
scaffold96:hit:294565	0	0.72	1.09	0	2.49	0.29	0.29	0.83	1.74
scaffold96:hit:294562	0	0	0	0	0	0	0	0	0
scaffold96:hit:294518	0	0.28	0.57	0.55	1.61	1.06	1.14	1.66	1.43
scaffold96:hit:294514	0	3.87	0	0	0	0.9	0	1.6	1.51
scaffold96:hit:294507	0	0	0	0	0	0	0	0	0
scaffold96:hit:294486	0	0	0	0.29	2.23	0.76	0.25	2.99	1.59
scaffold95:hit:293584	0	0	0	0	0	0	0	0	0
scaffold94:hit:292235	0	0	0	0	0	0	0	0	0
scaffold94:hit:292225	0	0	0	0	0	0	0	0	0
scaffold92:hit:290811	0	0	0	0	0	0.54	0	0	0
scaffold91:hit:290163	0	0	0	0	0	0	0	0	0
scaffold90:hit:289229	0.11	0.13	0.21	0	0.13	0.17	0	0.24	0
scaffold90:hit:289212	0	0	0	0	0	0	0	0	0
scaffold9_2:hit:95193	0	0	0	0	0.17	0.15	0	0.16	0.14
scaffold9_2:hit:95135	0	1.13	0	0	0	0.51	0	0	0
scaffold9_2:hit:94972	8.35	19.43	1.54	28.92	20.85	7.04	9.82	33.79	18.5
scaffold9_2:hit:94931	13.24	9.41	8.85	15.23	14.28	9.88	11.67	12.61	13.49
scaffold9_2:hit:94928	5.47	5.79	6.68	7.77	8.29	6.11	5.96	8.15	8.6
scaffold9_2:hit:94847	0	0	0	0	0	0	0	0	0
scaffold9_2:hit:94841	0	0.4	2.12	0.46	0	0.88	0	0.35	0.31
scaffold9_2:hit:94790	22.76	22.46	18.99	28.38	27.93	25.58	21.6	30.84	21.73
scaffold9_2:hit:94748	0	0	0	0	0	0	0	0	0
scaffold9_2:hit:94579	0	0	0	0	0	0	0	0	0
